Frequenza,Territorio,Indicatore,Sesso,Età,Stato civile,TIME_PERIOD,Osservazione,'Stato dell"'osservazione'
Annuale,Bologna,Popolazione al 1º gennaio,Totale,35 anni,Totale,2019,12350,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,35 anni,Totale,2020,12150,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,35 anni,Totale,2021,11913,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,35 anni,Totale,2022,11573,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,35 anni,Totale,2023,11640,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,35 anni,Totale,2024,11950,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,35 anni,Totale,2025,11970,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,36 anni,Totale,2019,12381,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,36 anni,Totale,2020,12543,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,36 anni,Totale,2021,12206,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,36 anni,Totale,2022,11955,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,36 anni,Totale,2023,11782,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,36 anni,Totale,2024,11866,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,36 anni,Totale,2025,12147,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,37 anni,Totale,2019,12534,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,37 anni,Totale,2020,12546,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,37 anni,Totale,2021,12515,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,37 anni,Totale,2022,12229,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,37 anni,Totale,2023,12077,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,37 anni,Totale,2024,11930,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,37 anni,Totale,2025,11942,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,38 anni,Totale,2019,13065,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,38 anni,Totale,2020,12607,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,38 anni,Totale,2021,12576,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,38 anni,Totale,2022,12517,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,38 anni,Totale,2023,12335,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,38 anni,Totale,2024,12232,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,38 anni,Totale,2025,12099,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,39 anni,Totale,2019,13450,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,39 anni,Totale,2020,13123,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,39 anni,Totale,2021,12556,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,39 anni,Totale,2022,12520,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,39 anni,Totale,2023,12608,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,39 anni,Totale,2024,12492,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,39 anni,Totale,2025,12375,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,40 anni,Totale,2019,14140,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,40 anni,Totale,2020,13529,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,40 anni,Totale,2021,13018,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,40 anni,Totale,2022,12530,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,40 anni,Totale,2023,12607,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,40 anni,Totale,2024,12729,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,40 anni,Totale,2025,12594,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,41 anni,Totale,2019,14503,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,41 anni,Totale,2020,14203,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,41 anni,Totale,2021,13442,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,41 anni,Totale,2022,13012,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,41 anni,Totale,2023,12580,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,41 anni,Totale,2024,12656,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,41 anni,Totale,2025,12885,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,42 anni,Totale,2019,15333,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,42 anni,Totale,2020,14517,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,42 anni,Totale,2021,14153,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,42 anni,Totale,2022,13395,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,42 anni,Totale,2023,13099,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,42 anni,Totale,2024,12676,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,42 anni,Totale,2025,12734,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,43 anni,Totale,2019,15966,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,43 anni,Totale,2020,15392,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,43 anni,Totale,2021,14476,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,43 anni,Totale,2022,14128,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,43 anni,Totale,2023,13451,
